category,support,tp,fp,fn,precision,recall,f1
C1,295,140,0,155,1.0,0.4745762711864407,0.6436781609195402
C10,7,0,0,7,0.0,0.0,0.0
C11,14,7,0,7,1.0,0.5,0.6666666666666666
C2,245,101,0,144,1.0,0.4122448979591837,0.5838150289017341
C3,35,3,0,32,1.0,0.08571428571428572,0.15789473684210528
C4,5,1,0,4,1.0,0.2,0.33333333333333337
C5,115,66,0,49,1.0,0.5739130434782609,0.7292817679558011
C6,68,32,0,36,1.0,0.47058823529411764,0.6399999999999999
C7,248,125,0,123,1.0,0.5040322580645161,0.6702412868632708
C8,68,31,0,37,1.0,0.45588235294117646,0.6262626262626263
C9,771,522,0,249,1.0,0.6770428015564203,0.8074245939675174
