category,support,tp,fp,fn,precision,recall,f1
C1,295,194,0,101,1.0,0.6576271186440678,0.7934560327198364
C10,7,0,0,7,0.0,0.0,0.0
C11,14,12,0,2,1.0,0.8571428571428571,0.923076923076923
C2,245,128,0,117,1.0,0.5224489795918368,0.6863270777479893
C3,35,8,0,27,1.0,0.22857142857142856,0.3720930232558139
C4,5,0,0,5,0.0,0.0,0.0
C5,115,65,0,50,1.0,0.5652173913043478,0.7222222222222222
C6,68,43,0,25,1.0,0.6323529411764706,0.7747747747747747
C7,248,165,0,83,1.0,0.6653225806451613,0.7990314769975787
C8,68,40,0,28,1.0,0.5882352941176471,0.7407407407407407
C9,771,516,0,255,1.0,0.669260700389105,0.8018648018648019
