model,run_dir,gold_fingerprint,rows,gold_items,recovery_raw_column,source_valid_rows,source_json_valid_rate,source_valid_nonempty_rows,source_valid_empty_rows,malformed_rows,recovered_nonempty_malformed_rows,malformed_unrecoverable_rows,recovered_output_valid_rows,recovered_output_json_valid_rate,recovered_output_nonempty_rows,recovered_output_nonempty_rate,recovered_output_empty_rows,duplicates_dropped_exact,missing_list_closer_values_recovered,original_tp,original_fp,original_fn,original_precision,original_recall,original_f1,recovered_tp,recovered_fp,recovered_fn,recovered_precision,recovered_recall,recovered_f1,f1_delta,no_dedup_recovered_f1,normalized_dedup_recovered_f1
Gemma-2-2B,harvey_results/gemma-2-2b_tweets_harvey_new_instruction_locdesc5_20260625_034328,bb730e92f161b14f,1080,1871,pred_postproc_raw,927,0.8583333333333333,927,0,153,144,9,1080,1.0,1071,0.9916666666666667,9,407,25,1009,702,862,0.5897136177673875,0.5392838054516301,0.5633724176437744,1171,887,700,0.5689990281827016,0.6258685195082844,0.5960804275897175,0.03270800994594303,0.540129151291513,0.5960804275897175
Gemma-2-9B,harvey_results/gemma-2-9b_tweets_harvey_new_instruction_locdesc5_20260625_011140,bb730e92f161b14f,1080,1871,pred_postproc_raw,882,0.8166666666666667,882,0,198,198,0,1080,1.0,1080,1.0,0,184,24,794,600,1077,0.569583931133429,0.4243719935863175,0.4863705972434916,1028,771,843,0.5714285714285714,0.5494388027792624,0.5602179836512262,0.07384738640773464,0.534509600415153,0.5603706732079585
Gemma-2-27B,harvey_results/gemma-2-27b_tweets_harvey_new_instruction_locdesc5_20260730_055037,cd3db006255208c0,1000,1738,pred_raw,59,0.059,44,15,941,940,1,1000,1.0,984,0.984,16,7697,33,40,11,1698,0.7843137254901961,0.023014959723820484,0.04471771939631079,1443,1842,295,0.4392694063926941,0.830264672036824,0.5745570376269161,0.5298393182306054,0.22751572327044028,0.5767386091127098
Llama-3.2-3B,harvey_results/Llama-3.2-3B_tweets_harvey_new_instruction_locdesc5_20260624_232211,bb730e92f161b14f,1080,1871,pred_postproc_raw,864,0.8,863,1,216,216,0,1080,1.0,1079,0.9990740740740741,1,1353,0,1014,2047,857,0.33126429271479907,0.5419561731694281,0.4111922141119221,1276,2913,595,0.30460730484602533,0.6819882415820417,0.4211221122112211,0.009929898099299006,0.3442600836368542,0.42160911944490337
Qwen2.5-3B,harvey_results/Qwen2.5-3B_tweets_harvey_new_instruction_locdesc5_20260625_023750,bb730e92f161b14f,1080,1871,pred_postproc_raw,590,0.5462962962962963,590,0,490,489,1,1080,1.0,1079,0.9990740740740741,1,157,510,586,448,1285,0.5667311411992263,0.31320149652592194,0.4034423407917384,938,1001,933,0.48375451263537905,0.501336183858899,0.4923884514435696,0.08894611065183117,0.47290143685404595,0.49277646440767015
